,author,title,summary
10,"[('Haochen Li'), ('Xin Zhou'), ('Zhiqi Shen')]",Rewriting the Code: A Simple Method for Large Language Model Augmented Code Search,"In code search, the Generation-Augmented Retrieval (GAR) framework, which
generates exemplar code snippets to augment queries, has emerged as a promising
strategy to address the principal challenge of modality misalignment between
code snippets and natural language queries, particularly with the demonstrated
code generation capabilities of Large Language Models (LLMs). Nevertheless, our
preliminary investigations indicate that the improvements conferred by such an
LLM-augmented framework are somewhat constrained. This limitation could
potentially be ascribed to the fact that the generated codes, albeit
functionally accurate, frequently display a pronounced stylistic deviation from
the ground truth code in the codebase. In this paper, we extend the
foundational GAR framework and propose a simple yet effective method that
additionally Rewrites the Code (ReCo) within the codebase for style
normalization. Experimental results demonstrate that ReCo significantly boosts
retrieval accuracy across sparse (up to 35.7%), zero-shot dense (up to 27.6%),
and fine-tuned dense (up to 23.6%) retrieval settings in diverse search
scenarios. To further elucidate the advantages of ReCo and stimulate research
in code style normalization, we introduce Code Style Similarity, the first
metric tailored to quantify stylistic similarities in code. Notably, our
empirical findings reveal the inadequacy of existing metrics in capturing
stylistic nuances. The source code and data are available at
\url{https://github.com/Alex-HaochenLi/ReCo}."
11,"[('Shangqing Tu'), ('Yuliang Sun'), ('Yushi Bai'), ('Jifan Yu'), ('Lei Hou'), ('Juanzi Li')]",WaterBench: Towards Holistic Evaluation of Watermarks for Large Language Models,"To mitigate the potential misuse of large language models (LLMs), recent
research has developed watermarking algorithms, which restrict the generation
process to leave an invisible trace for watermark detection. Due to the
two-stage nature of the task, most studies evaluate the generation and
detection separately, thereby presenting a challenge in unbiased, thorough, and
applicable evaluations. In this paper, we introduce WaterBench, the first
comprehensive benchmark for LLM watermarks, in which we design three crucial
factors: (1) For benchmarking procedure, to ensure an apples-to-apples
comparison, we first adjust each watermarking method's hyper-parameter to reach
the same watermarking strength, then jointly evaluate their generation and
detection performance. (2) For task selection, we diversify the input and
output length to form a five-category taxonomy, covering $9$ tasks. (3) For
evaluation metric, we adopt the GPT4-Judge for automatically evaluating the
decline of instruction-following abilities after watermarking. We evaluate $4$
open-source watermarks on $2$ LLMs under $2$ watermarking strengths and observe
the common struggles for current methods on maintaining the generation quality.
The code and data are available at https://github.com/THU-KEG/WaterBench."
12,"[('Zhenhua Liu'), ('Tong Zhu'), ('Chuanyuan Tan'), ('Haonan Lu'), ('Bing Liu'), ('Wenliang Chen')]",Probing Language Models for Pre-training Data Detection,"Large Language Models (LLMs) have shown their impressive capabilities, while
also raising concerns about the data contamination problems due to privacy
issues and leakage of benchmark datasets in the pre-training phase. Therefore,
it is vital to detect the contamination by checking whether an LLM has been
pre-trained on the target texts. Recent studies focus on the generated texts
and compute perplexities, which are superficial features and not reliable. In
this study, we propose to utilize the probing technique for pre-training data
detection by examining the model's internal activations. Our method is simple
and effective and leads to more trustworthy pre-training data detection.
Additionally, we propose ArxivMIA, a new challenging benchmark comprising arxiv
abstracts from Computer Science and Mathematics categories. Our experiments
demonstrate that our method outperforms all baselines, and achieves
state-of-the-art performance on both WikiMIA and ArxivMIA, with additional
experiments confirming its efficacy (Our code and dataset are available at
https://github.com/zhliu0106/probing-lm-data)."
13,"[('Huiqiang Jiang'), ('Qianhui Wu'), ('Xufang Luo'), ('Dongsheng Li'), ('Chin-Yew Lin'), ('Yuqing Yang'), ('Lili Qiu')]",LongLLMLingua: Accelerating and Enhancing LLMs in Long Context Scenarios via Prompt Compression,"In long context scenarios, large language models (LLMs) face three main
challenges: higher computational/financial cost, longer latency, and inferior
performance. Some studies reveal that the performance of LLMs depends on both
the density and the position of the key information (question relevant) in the
input prompt. Inspired by these findings, we propose LongLLMLingua for prompt
compression towards improving LLMs' perception of the key information to
simultaneously address the three challenges. We conduct evaluation on a wide
range of long context scenarios including single-/multi-document QA, few-shot
learning, summarization, synthetic tasks, and code completion. The experimental
results show that LongLLMLingua compressed prompt can derive higher performance
with much less cost. The latency of the end-to-end system is also reduced. For
example, on NaturalQuestions benchmark, LongLLMLingua gains a performance boost
of up to 17.1% over the original prompt with ~4x fewer tokens as input to
GPT-3.5-Turbo. It can derive cost savings of \$28.5 and \$27.4 per 1,000
samples from the LongBench and ZeroScrolls benchmark, respectively.
Additionally, when compressing prompts of ~10k tokens at a compression rate of
2x-10x, LongLLMLingua can speed up the end-to-end latency by 1.4x-3.8x. Our
code is available at https://aka.ms/LLMLingua."
14,"[('Tao Sun'), ('Linzheng Chai'), ('Jian Yang'), ('Yuwei Yin'), ('Hongcheng Guo'), ('Jiaheng Liu'), ('Bing Wang'), ('Liqun Yang'), ('Zhoujun Li')]",UniCoder: Scaling Code Large Language Model via Universal Code,"Intermediate reasoning or acting steps have successfully improved large
language models (LLMs) for handling various downstream natural language
processing (NLP) tasks. When applying LLMs for code generation, recent works
mainly focus on directing the models to articulate intermediate
natural-language reasoning steps, as in chain-of-thought (CoT) prompting, and
then output code with the natural language or other structured intermediate
steps. However, such output is not suitable for code translation or generation
tasks since the standard CoT has different logical structures and forms of
expression with the code. In this work, we introduce the universal code
(UniCode) as the intermediate representation. It is a description of algorithm
steps using a mix of conventions of programming languages, such as assignment
operator, conditional operator, and loop. Hence, we collect an instruction
dataset UniCoder-Instruct to train our model UniCoder on multi-task learning
objectives. UniCoder-Instruct comprises natural-language questions, code
solutions, and the corresponding universal code. The alignment between the
intermediate universal code representation and the final code solution
significantly improves the quality of the generated code. The experimental
results demonstrate that UniCoder with the universal code significantly
outperforms the previous prompting methods by a large margin, showcasing the
effectiveness of the structural clues in pseudo-code."
15,"[('Yan Ma'), ('Yu Qiao'), ('Pengfei Liu')]",MoPS: Modular Story Premise Synthesis for Open-Ended Automatic Story Generation,"A story premise succinctly defines a story's main idea, foundation, and
trajectory. It serves as the initial trigger in automatic story generation.
Existing sources of story premises are limited by a lack of diversity, uneven
quality, and high costs that make them difficult to scale. In response, we
introduce Modular Story Premise Synthesis (MoPS) which breaks down story
premises into modules like background and persona for automated design and
generation. MoPS consists of three phases: (1) Precollect a consistent set of
candidates for each module to form a nested dictionary. (2) Extract a key path
from the nested dictionary as the premise design. (3) Instruct an LLM to
integrate the design into a coherent premise sentence. Thorough evaluations
demonstrate that our synthesized premises excel in diversity, fascination,
completeness, and originality compared to those induced from large language
models and captured from public story datasets. Similarly, the extended novels
and scripts generated from our premises also exhibit higher quality. In
supplementary materials, we provide the MoPS code suite, along with 7.6k
generated premises and 1k extended stories. Code:
https://github.com/GAIR-NLP/MoPS."
16,"[('Arnav Chavan'), ('Nahush Lele'), ('Deepak Gupta')]","Surgical Feature-Space Decomposition of LLMs: Why, When and How?","Low-rank approximations, of the weight and feature space can enhance the
performance of deep learning models, whether in terms of improving
generalization or reducing the latency of inference. However, there is no clear
consensus yet on \emph{how}, \emph{when} and \emph{why} these approximations
are helpful for large language models (LLMs). In this work, we empirically
study the efficacy of weight and feature space decomposition in
transformer-based LLMs. We demonstrate that surgical decomposition not only
provides critical insights into the trade-off between compression and language
modelling performance, but also sometimes enhances commonsense reasoning
performance of LLMs. Our empirical analysis identifies specific network
segments that intrinsically exhibit a low-rank structure. Furthermore, we
extend our investigation to the implications of low-rank approximations on
model bias. Overall, our findings offer a novel perspective on optimizing LLMs,
presenting the low-rank approximation not only as a tool for performance
enhancements, but also as a means to potentially rectify biases within these
models. Our code is available at
\href{https://github.com/nyunAI/SFSD-LLM}{GitHub}."
17,"[('Yao Yao'), ('Zuchao Li'), ('Hai Zhao')]",SirLLM: Streaming Infinite Retentive LLM,"As Large Language Models (LLMs) become increasingly prevalent in various
domains, their ability to process inputs of any length and maintain a degree of
memory becomes essential. However, the one-off input of overly long texts is
limited, as studies have shown that when input lengths exceed the LLMs'
pre-trained text length, there is a dramatic decline in text generation
capabilities. Moreover, simply extending the length of pre-training texts is
impractical due to the difficulty in obtaining long text data and the
substantial memory consumption costs this would entail for LLMs. Recent efforts
have employed streaming inputs to alleviate the pressure of excessively long
text inputs, but this approach can significantly impair the model's long-term
memory capabilities.
  Motivated by this challenge, we introduce Streaming Infinite Retentive LLM
(SirLLM), which allows LLMs to maintain longer memory during infinite-length
dialogues without the need for fine-tuning. SirLLM utilizes the Token Entropy
metric and a memory decay mechanism to filter key phrases, endowing LLMs with
both long-lasting and flexible memory. We designed three distinct tasks and
constructed three datasets to measure the effectiveness of SirLLM from various
angles: (1) DailyDialog; (2) Grocery Shopping; (3) Rock-Paper-Scissors. Our
experimental results robustly demonstrate that SirLLM can achieve stable and
significant improvements across different LLMs and tasks, compellingly proving
its effectiveness. When having a coversation, ""A sir could forget himself,"" but
SirLLM never does! Our code is publicly available at
https://github.com/Zoeyyao27/SirLLM"
18,"[('Jintian Zhang'), ('Xin Xu'), ('Ningyu Zhang'), ('Ruibo Liu'), ('Bryan Hooi'), ('Shumin Deng')]",Exploring Collaboration Mechanisms for LLM Agents: A Social Psychology View,"As Natural Language Processing (NLP) systems are increasingly employed in
intricate social environments, a pressing query emerges: Can these NLP systems
mirror human-esque collaborative intelligence, in a multi-agent society
consisting of multiple large language models (LLMs)? This paper probes the
collaboration mechanisms among contemporary NLP systems by melding practical
experiments with theoretical insights. We fabricate four unique `societies'
comprised of LLM agents, where each agent is characterized by a specific
`trait' (easy-going or overconfident) and engages in collaboration with a
distinct `thinking pattern' (debate or reflection). Through evaluating these
multi-agent societies on three benchmark datasets, we discern that certain
collaborative strategies not only outshine previous top-tier approaches, but
also optimize efficiency (using fewer API tokens). Moreover, our results
further illustrate that LLM agents manifest human-like social behaviors, such
as conformity and consensus reaching, mirroring foundational social psychology
theories. In conclusion, we integrate insights from social psychology to
contextualize the collaboration of LLM agents, inspiring further investigations
into the collaboration mechanism for LLMs. We commit to sharing our code and
datasets\footnote{\url{https://github.com/zjunlp/MachineSoM}.}, hoping to
catalyze further research in this promising avenue."
19,"[('Haonan Chen'), ('Zhicheng Dou'), ('Kelong Mao'), ('Jiongnan Liu'), ('Ziliang Zhao')]",Generalizing Conversational Dense Retrieval via LLM-Cognition Data Augmentation,"Conversational search utilizes muli-turn natural language contexts to
retrieve relevant passages. Existing conversational dense retrieval models
mostly view a conversation as a fixed sequence of questions and responses,
overlooking the severe data sparsity problem -- that is, users can perform a
conversation in various ways, and these alternate conversations are unrecorded.
Consequently, they often struggle to generalize to diverse conversations in
real-world scenarios. In this work, we propose a framework for generalizing
Conversational dense retrieval via LLM-cognition data Augmentation (ConvAug).
ConvAug first generates multi-level augmented conversations to capture the
diverse nature of conversational contexts. Inspired by human cognition, we
devise a cognition-aware process to mitigate the generation of false positives,
false negatives, and hallucinations. Moreover, we develop a difficulty-adaptive
sample filter that selects challenging samples for complex conversations,
thereby giving the model a larger learning space. A contrastive learning
objective is then employed to train a better conversational context encoder.
Extensive experiments conducted on four public datasets, under both normal and
zero-shot settings, demonstrate the effectiveness, generalizability, and
applicability of ConvAug. The code is released at
https://github.com/haon-chen/ConvAug."
20,"[('Wangtao Sun'), ('Haotian Xu'), ('Xuanqing Yu'), ('Pei Chen'), ('Shizhu He'), ('Jun Zhao'), ('Kang Liu')]",ItD: Large Language Models Can Teach Themselves Induction through Deduction,"Although Large Language Models (LLMs) are showing impressive performance on a
wide range of Natural Language Processing tasks, researchers have found that
they still have limited ability to conduct induction. Recent works mainly adopt
``post processes'' paradigms to improve the performance of LLMs on induction
(e.g., the hypothesis search & refinement methods), but their performance is
still constrained by the inherent inductive capability of the LLMs. In this
paper, we propose a novel framework, Induction through Deduction (ItD), to
enable the LLMs to teach themselves induction through deduction. The ItD
framework is composed of two main components: a Deductive Data Generation
module to generate induction data and a Naive Bayesian Induction module to
optimize the fine-tuning and decoding of LLMs. Our empirical results showcase
the effectiveness of ItD on two induction benchmarks, achieving relative
performance improvement of 36% and 10% compared with previous state-of-the-art,
respectively. Our ablation study verifies the effectiveness of two key modules
of ItD. We also verify the effectiveness of ItD across different LLMs and
deductors. The data and code of this paper can be found at
https://anonymous.4open.science/r/ItD-E844."
21,"[('Hao Zhou'), ('Tiancheng Shen'), ('Xu Yang'), ('Hai Huang'), ('Xiangtai Li'), ('Lu Qi'), ('Ming-Hsuan Yang')]",Rethinking Task-Oriented Dialogue Systems: From Complex Modularity to Zero-Shot Autonomous Agent,"In this paper, we highlight a problem of evaluation metrics adopted in the
open-vocabulary segmentation. That is, the evaluation process still heavily
relies on closed-set metrics on zero-shot or cross-dataset pipelines without
considering the similarity between predicted and ground truth categories. To
tackle this issue, we first survey eleven similarity measurements between two
categorical words using WordNet linguistics statistics, text embedding, and
language models by comprehensive quantitative analysis and user study. Built
upon those explored measurements, we designed novel evaluation metrics, namely
Open mIoU, Open AP, and Open PQ, tailored for three open-vocabulary
segmentation tasks. We benchmarked the proposed evaluation metrics on 12
open-vocabulary methods of three segmentation tasks. Even though the relative
subjectivity of similarity distance, we demonstrate that our metrics can still
well evaluate the open ability of the existing open-vocabulary segmentation
methods. We hope that our work can bring with the community new thinking about
how to evaluate the open ability of models. The evaluation code is released in
github."
22,"[('Mathieu Ravaut'), ('Aixin Sun'), ('Nancy F. Chen'), ('Shafiq Joty')]",On Context Utilization in Summarization with Large Language Models,"Large language models (LLMs) excel in abstractive summarization tasks,
delivering fluent and pertinent summaries. Recent advancements have extended
their capabilities to handle long-input contexts, exceeding 100k tokens.
However, in question answering, language models exhibit uneven utilization of
their input context. They tend to favor the initial and final segments,
resulting in a U-shaped performance pattern concerning where the answer is
located within the input. This bias raises concerns, particularly in
summarization where crucial content may be dispersed throughout the source
document(s). Besides, in summarization, mapping facts from the source to the
summary is not trivial as salient content is usually re-phrased. In this paper,
we conduct the first comprehensive study on context utilization and position
bias in summarization. Our analysis encompasses 6 LLMs, 10 datasets, and 5
evaluation metrics. We introduce a new evaluation benchmark called MiddleSum on
the which we benchmark two alternative inference methods to alleviate position
bias: hierarchical summarization and incremental summarization. Our code and
data can be found here: https://github.com/ntunlp/MiddleSum."
23,"[('Shuofei Qiao'), ('Ningyu Zhang'), ('Runnan Fang'), ('Yujie Luo'), ('Wangchunshu Zhou'), ('Yuchen Eleanor Jiang'), ('Chengfei Lv'), ('Huajun Chen')]",AutoAct: Automatic Agent Learning from Scratch for QA via Self-Planning,"Language agents have achieved considerable performance on various complex
question-answering tasks by planning with external tools. Despite the incessant
exploration in this field, existing language agent systems still struggle with
costly, non-reproducible data reliance and face the challenge of compelling a
single model for multiple functions. To this end, we introduce AutoAct, an
automatic agent learning framework for QA that does not rely on large-scale
annotated data and synthetic planning trajectories from closed-source models
(e.g., GPT-4). Given limited data with a tool library, AutoAct first
automatically synthesizes planning trajectories without any assistance from
humans or strong closed-source models. Then, AutoAct leverages a
division-of-labor strategy to automatically differentiate based on the target
task information and synthesized trajectories, producing a sub-agent group to
complete the task. We conduct comprehensive experiments with different LLMs,
which demonstrates that AutoAct yields better or parallel performance compared
to various strong baselines. Further analysis demonstrates the effectiveness of
the division-of-labor strategy, with the trajectory quality generated by
AutoAct generally outperforming that of others. Code will be available at
https://github.com/zjunlp/AutoAct."
24,"[('Yushi Bai'), ('Xin Lv'), ('Jiajie Zhang'), ('Hongchang Lyu'), ('Jiankai Tang'), ('Zhidian Huang'), ('Zhengxiao Du'), ('Xiao Liu'), ('Aohan Zeng'), ('Lei Hou'), ('Yuxiao Dong'), ('Jie Tang'), ('Juanzi Li')]","LongBench: A Bilingual, Multitask Benchmark for Long Context Understanding","Although large language models (LLMs) demonstrate impressive performance for
many language tasks, most of them can only handle texts a few thousand tokens
long, limiting their applications on longer sequence inputs, such as books,
reports, and codebases. Recent works have proposed methods to improve LLMs'
long context capabilities by extending context windows and more sophisticated
memory mechanisms. However, comprehensive benchmarks tailored for evaluating
long context understanding are lacking. In this paper, we introduce LongBench,
the first bilingual, multi-task benchmark for long context understanding,
enabling a more rigorous evaluation of long context understanding. LongBench
comprises 21 datasets across 6 task categories in both English and Chinese,
with an average length of 6,711 words (English) and 13,386 characters
(Chinese). These tasks cover key long-text application areas including
single-doc QA, multi-doc QA, summarization, few-shot learning, synthetic tasks,
and code completion. All datasets in LongBench are standardized into a unified
format, allowing for effortless automatic evaluation of LLMs. Upon
comprehensive evaluation of 8 LLMs on LongBench, we find that: (1) Commercial
model (GPT-3.5-Turbo-16k) outperforms other open-sourced models, but still
struggles on longer contexts. (2) Scaled position embedding and fine-tuning on
longer sequences lead to substantial improvement on long context understanding.
(3) Context compression technique such as retrieval brings improvement for
model with weak ability on long contexts, but the performance still lags behind
models that have strong long context understanding capability. The code and
datasets are available at https://github.com/THUDM/LongBench."
